,an adversary,the target,an attacker,this attack,the attacker,the adversary,such as,access to,able to,type of,this type of,a target,in order to,does not,an application,for example,operating system,sensitive information,the victim,attempt to,number of,result in,this type of attack,information about,differs from,attack pattern,types of,the same,due to,target system,adversary uses,an adversary exploits,arbitrary code,the use of,the purpose of,as well as,a weakness in,ability to,this attack pattern,based on,operating systems,try to,part of,attempts to,this attack differs from,denial of service,denial of,this pattern,closed port,gain access,the original,access control,for instance,gain access to,a victim,an attempt to,the goal of,rather than,buffer overflow,engages in,error message,web application,an adversary engages,target application,web server,an adversary engages in,targeted application,the target software,target software,legitimate users,the content of,web browser,large number of,a large number of,web service,execute arbitrary,out of,rely on,an attacker exploits,flooding attack,social engineering,weaknesses in,to determine if,accomplished by,this attack targets,lead to,takes advantage of,a flooding attack,but instead,the targeted application,input validation,execute arbitrary code,associated with,malicious code,web services,malicious content,ip address,take advantage of,variety of,obtain sensitive,os fingerprinting,interacting with,resulting in,an open port,unauthorized access,malicious script,attack against,this pattern of attack,relies on,do not,some cases,a buffer overflow,depending on,service provider,attack leverages,closed ports,this type exploits,malicious application,remote host,into performing,this os fingerprinting probe,sensitive data,error messages,supply chain,the service provider,sql injection,http request,http get,icmp error message,client side,vulnerable web,the underlying,malicious logic,domain name,brute force,sequence number,third party,cross domain,cross site,credential prompt,icmp type,man in,the middle,cross site scripting,victim's browser,rfc 793,the victim's browser,the victim's,the adversary's
an adversary,236,83,11,38,21,94,34,46,37,44,37,33,22,24,24,20,24,28,16,22,16,22,20,19,12,9,18,13,19,20,23,32,8,8,14,12,15,7,7,11,8,1,14,10,8,6,6,10,13,5,6,9,3,5,8,11,16,7,1,16,9,8,17,5,6,16,5,2,2,11,8,6,8,8,6,2,7,4,0,10,13,7,10,9,1,7,9,10,7,4,6,1,6,3,4,2,7,4,6,8,2,8,7,6,2,6,6,10,1,5,5,0,6,3,3,6,1,8,3,6,0,5,4,8,3,0,2,3,3,1,4,3,7,5,2,0,2,1,1,2,2,0,0,0,0,0,0,0,0
the target,83,164,44,54,49,66,31,23,27,19,16,34,17,19,14,19,15,15,9,14,11,7,7,19,14,12,10,6,7,25,13,10,7,12,10,8,5,10,9,7,8,7,8,8,11,4,4,6,7,3,2,4,2,3,2,6,8,7,7,9,7,3,10,10,3,9,14,16,16,3,7,4,6,6,0,4,4,7,6,5,10,5,8,5,4,6,4,4,5,12,5,3,5,3,0,2,6,1,5,3,4,6,3,6,4,2,1,3,8,3,3,3,5,0,5,4,5,3,3,6,3,3,6,1,0,3,1,2,2,1,1,1,0,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0
an attacker,11,44,197,61,82,6,47,46,37,18,11,21,33,24,23,25,12,13,22,8,13,9,6,7,10,14,11,14,5,4,4,1,6,14,16,8,10,11,8,11,6,11,7,6,6,7,7,8,5,13,12,9,10,12,10,3,2,13,12,1,3,9,0,10,7,0,5,7,7,1,7,7,3,3,3,4,4,9,15,1,4,9,4,4,10,7,5,0,2,3,7,3,3,8,3,3,2,7,3,1,3,3,3,2,7,2,7,1,5,4,4,6,1,2,4,2,5,1,4,4,3,3,1,5,1,8,1,2,2,2,0,5,1,1,1,1,1,2,2,0,0,2,2,1,0,0,0,0,0
this attack,38,54,61,135,65,29,37,28,34,11,9,21,24,14,15,21,2,13,14,12,12,6,3,7,17,24,5,11,4,4,3,1,8,9,8,8,5,5,21,8,0,11,3,6,14,7,7,5,0,6,3,6,9,6,5,7,5,6,6,0,2,3,0,7,6,0,4,7,7,7,8,5,7,7,8,5,4,5,4,6,3,6,0,3,16,3,10,6,7,3,4,4,7,3,6,5,3,6,3,3,0,3,4,0,3,3,2,1,8,2,3,6,2,4,5,0,5,2,1,0,0,2,1,0,3,3,2,4,0,4,1,0,0,0,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0
the attacker,21,49,82,65,141,7,31,27,36,18,16,18,27,16,14,16,9,8,19,7,9,6,9,8,7,11,8,13,5,7,4,1,7,10,8,8,4,5,9,9,5,12,4,6,5,4,4,5,5,9,8,6,9,8,9,4,2,7,8,1,6,4,0,5,5,0,6,7,7,2,5,6,4,4,4,4,2,9,7,1,3,5,0,1,10,6,4,1,3,5,5,3,4,5,2,6,3,5,3,1,1,2,4,0,4,0,4,1,6,2,3,4,1,3,4,1,4,1,0,3,1,1,4,2,2,3,2,3,3,2,0,2,0,1,2,0,1,2,2,0,0,2,2,1,0,0,0,0,0
the adversary,94,66,6,29,7,131,20,23,26,18,16,17,9,14,14,12,9,15,11,15,9,8,9,15,7,9,6,10,5,14,12,16,4,8,8,5,7,6,7,7,2,4,4,6,7,3,3,6,4,3,5,3,3,3,4,7,7,5,0,5,3,2,5,3,3,5,4,4,4,4,7,4,4,4,1,3,2,1,0,4,11,2,4,3,1,5,4,4,6,3,1,3,2,1,0,1,6,1,5,5,0,4,2,2,0,3,2,5,3,2,3,0,4,0,0,2,2,3,2,6,0,6,2,0,0,1,1,0,0,2,1,2,2,1,2,0,1,1,1,2,2,1,0,0,0,0,0,0,0
such as,34,31,47,37,31,20,98,24,16,12,9,12,13,8,9,10,10,2,8,8,5,7,3,5,7,5,6,9,2,5,4,3,7,8,6,7,2,6,3,3,5,5,4,4,4,1,1,6,2,6,5,5,5,6,5,2,5,3,3,6,1,7,6,5,4,5,1,3,3,2,3,3,1,1,4,4,2,4,3,3,2,1,1,2,4,5,2,2,0,1,5,3,4,4,4,2,3,3,6,1,2,2,1,0,4,4,4,3,3,2,5,2,1,2,2,1,5,0,3,2,1,5,1,3,1,1,3,3,1,3,2,2,2,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0
access to,46,23,46,28,27,23,24,98,23,7,6,10,11,10,10,6,3,6,11,10,6,8,4,4,8,7,4,3,6,5,7,4,3,3,4,4,7,7,5,5,0,6,4,2,6,4,4,6,4,19,5,8,6,19,6,4,8,4,2,2,0,4,2,2,2,2,1,1,1,9,1,2,2,2,4,1,4,3,4,7,1,1,3,5,5,4,3,7,1,1,2,1,2,5,2,2,1,6,3,2,0,1,3,3,10,1,0,2,1,0,3,2,4,1,0,4,1,1,0,2,0,2,0,2,1,2,1,1,0,0,0,0,1,0,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0
able to,37,27,37,34,36,26,16,23,87,12,10,8,14,12,12,18,7,12,10,6,5,5,5,6,8,9,5,5,5,5,3,3,5,4,6,6,3,4,8,6,1,5,5,4,6,5,5,7,1,5,2,11,6,5,6,4,2,4,5,2,5,6,2,4,2,2,4,0,0,3,4,1,2,2,4,5,1,1,2,3,2,3,0,1,2,3,3,3,2,4,2,4,1,3,2,4,1,2,0,1,1,1,1,0,3,1,2,3,1,1,2,3,2,1,1,1,1,1,0,1,0,0,3,1,1,2,1,3,0,1,0,0,0,0,3,0,2,3,1,0,0,2,2,0,0,0,0,0,0
type of,44,19,18,11,18,18,12,7,12,69,55,11,8,5,7,3,12,7,6,4,4,6,30,5,1,1,9,4,7,4,7,0,2,8,4,5,1,1,0,2,8,2,3,4,1,3,3,0,7,0,2,1,3,0,5,3,5,2,3,5,5,7,5,2,3,5,1,2,2,2,0,2,2,2,3,1,3,3,2,2,0,4,2,1,2,2,1,2,2,1,4,0,2,1,2,4,4,0,3,2,3,4,1,2,0,3,2,0,1,3,1,1,0,2,3,2,2,3,1,0,1,0,3,0,2,0,0,0,1,1,3,1,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0
