,operating system,operating systems,sensitive information,closed port,os fingerprinting,arbitrary code,this os fingerprinting probe,error message,web server,denial of service,web application,web service,access control,remote host,web services,execute arbitrary code,malicious script,icmp error message,buffer overflow,web browser,service provider,sequence number,an open port,takes advantage of,malicious content,malicious code,ip address,http request,error messages,input validation,legitimate users,social engineering,supply chain,vulnerable web,http get,closed ports,malicious application,unauthorized access,client side,malicious logic,sql injection,domain name,third party,icmp type,cross domain,credential prompt,brute force,cross site scripting,rfc 793
operating system,49,23,3,9,12,3,10,6,0,0,0,0,1,5,0,2,0,5,1,0,0,6,3,0,0,1,2,0,3,0,2,0,0,0,0,2,2,0,0,1,1,1,2,2,0,2,0,0,0
operating systems,23,23,0,7,12,0,10,5,0,0,0,0,0,4,0,0,0,4,0,0,0,5,3,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
sensitive information,3,0,43,0,0,2,0,1,0,2,2,1,4,0,0,1,0,0,2,2,1,0,0,1,1,1,1,0,1,0,0,4,1,0,1,0,4,1,0,0,1,0,0,0,2,2,0,0,0
closed port,9,7,0,15,2,0,2,6,0,0,0,0,0,2,0,0,0,5,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
os fingerprinting,12,12,0,2,12,0,10,2,0,0,0,0,0,4,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arbitrary code,3,0,2,0,0,22,0,0,1,3,1,3,1,0,3,10,0,0,4,0,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
this os fingerprinting probe,10,10,0,2,10,0,10,2,0,0,0,0,0,4,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error message,6,5,1,6,2,0,2,13,2,0,0,0,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
web server,0,0,0,0,0,1,0,2,18,1,3,1,0,1,1,0,3,0,0,4,1,0,0,0,1,1,0,5,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0
denial of service,0,0,2,0,0,3,0,0,1,18,1,5,2,0,4,2,0,0,1,0,3,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
web application,0,0,2,0,0,1,0,0,3,1,18,1,2,0,0,0,4,0,0,1,0,0,0,1,2,0,0,1,0,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
web service,0,0,1,0,0,3,0,0,1,5,1,12,0,0,9,1,0,0,0,0,5,0,0,0,2,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
access control,1,0,4,0,0,1,0,0,0,2,2,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
remote host,5,4,0,2,4,0,4,2,1,0,0,0,0,9,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
web services,0,0,0,0,0,3,0,0,1,4,0,9,0,0,9,1,0,0,0,0,5,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
execute arbitrary code,2,0,1,0,0,10,0,0,0,2,0,1,0,0,1,10,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
malicious script,0,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0,9,0,0,3,0,0,0,0,0,0,1,2,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
icmp error message,5,4,0,5,2,0,2,5,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buffer overflow,1,0,2,0,0,4,0,0,0,1,0,0,1,0,0,3,0,0,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web browser,0,0,2,0,0,0,0,1,4,0,1,0,0,1,0,0,3,0,0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service provider,0,0,1,0,0,2,0,0,1,3,0,5,0,0,5,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
sequence number,6,5,0,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an open port,3,3,0,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
takes advantage of,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
malicious content,0,0,1,0,0,1,0,0,1,2,2,2,0,0,1,1,0,0,1,1,1,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious code,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ip address,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
http request,0,0,0,0,0,0,0,0,5,0,1,1,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
error messages,3,2,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
