,sensitive information,operating systems,closed port,web server,web application,error message,access control,malicious script,web browser,web service,remote host,web services,buffer overflow,input validation,http request,social engineering,icmp error message,supply chain,ip address,vulnerable web,legitimate users,execute arbitrary code,closed ports,client side,sequence number,malicious logic,sql injection,icmp type,cross domain,brute force,credential prompt,cross site scripting,rfc 793
sensitive information,43,0,0,0,2,1,4,0,2,1,0,0,2,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,2,0,2,0,0
operating systems,0,23,7,0,0,5,0,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,1,0,5,0,0,2,0,0,0,0,0
closed port,0,7,15,0,0,6,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0
web server,0,0,0,18,3,2,0,3,4,1,1,1,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0
web application,2,0,0,3,18,0,2,4,1,1,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
error message,1,5,6,2,0,13,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
access control,4,0,0,0,2,0,22,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
malicious script,0,0,0,3,4,0,0,9,3,0,2,0,0,3,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0
web browser,2,0,0,4,1,1,0,3,15,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
web service,1,0,0,1,1,0,0,0,0,12,0,9,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
remote host,0,4,2,1,0,2,0,2,1,0,9,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
web services,0,0,0,1,0,0,0,0,0,9,0,9,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
buffer overflow,2,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
input validation,0,0,0,0,3,0,0,3,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
http request,0,0,0,5,1,0,1,2,1,1,0,1,0,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
social engineering,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
icmp error message,0,4,5,0,0,5,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supply chain,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ip address,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0
vulnerable web,0,0,0,2,4,0,0,4,1,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
legitimate users,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
execute arbitrary code,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
closed ports,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0
client side,0,0,0,2,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
sequence number,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
malicious logic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
sql injection,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
icmp type,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
cross domain,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
brute force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
credential prompt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cross site scripting,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rfc 793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
