,operating systems,web server,web application,error message,access control,web service,web browser,malicious script,web services,input validation,http request,buffer overflow,social engineering,ip address,legitimate users,supply chain,icmp error message,client side,sequence number,sql injection,closed ports,icmp type,brute force,cross domain,cross site scripting,credential prompt
operating systems,23,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,4,0,5,0,1,2,0,0,0,0
web server,0,18,3,2,0,1,4,3,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
web application,0,3,18,0,2,1,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
error message,5,2,0,13,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0
access control,0,0,2,0,22,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
web service,0,1,1,0,0,12,0,0,9,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
web browser,0,4,1,1,0,0,15,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
malicious script,0,3,4,0,0,0,3,9,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
web services,0,1,0,0,0,9,0,0,9,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
input validation,0,0,3,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http request,0,5,1,0,1,1,1,2,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
buffer overflow,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social engineering,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
ip address,2,0,0,0,1,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0
legitimate users,0,0,0,0,1,2,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
supply chain,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
icmp error message,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
client side,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
sequence number,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
sql injection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
closed ports,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0
icmp type,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
brute force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
cross domain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
cross site scripting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
credential prompt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
