,configured correctly,machine setting,current user,current user setting,set appropriately,common setting,file permissions,set correctly,internet zone,restricted sites zone,local machine zone,trusted sites zone,intranet zone,activex controls,outlook setting,word setting,configured appropriately,trust center,excel setting,sh file permissions,internet explorer,net framework,powerpoint setting,windows firewall,log file,user account,project setting,visio setting,registry key,status bar,disable commands,web content,web page,infopath setting,web sites,terminal services,network security,web sites in less privileged web,navigate into,content zones,open files,file extension,access setting,onenote setting,microsoft exchange,secure channel,digitally sign,internet explorer processes,domain profile,secure channel data,minimum requirements,media player,meet minimum requirements,open files based on content,set correctly for terminal services,components signed with authenticode,reliant components signed with authenticode,properly configured,size limit,user account control,protected mode,data sources,launching programs,download signed activex controls,remote desktop,java permissions,directory service,trusted platform,turn on protected mode,browser control,initialize and script,download unsigned activex controls,access data sources across domains,launching programs and unsafe files,loose xaml,run activex controls and plugins,script activex controls marked safe for,reliant components not signed with authenticode,display mixed content,trusted platform module,loose xaml files,activex controls without prompt,automatic prompting for activex controls,minimum session security for ntlm ssp,net framework setup,session security,object access,process list,stop checking,file types,smartscreen filter,network access,policy change,restricted protocols,turn off windows,software channel permissions,form data,drag and drop,home directory,isdn network,frames across different domains,secure rpc,include local directory path,digitally encrypt,installation of desktop items,xps documents,platform configuration register,automatic prompting for file downloads,userdata persistence,shortcut keys,aka pcr,passwd file,active scripting,disable shortcut keys,binary and script behaviors,scripting of java applets,including secure rpc,prompt for client certificate selection,xaml browser applications,logon options,interactive logon,security restriction,disable changing,microsoft network,domain member,password change,sign secure channel data,smart card,security log,account management,home page,application log,jsh file permissions,csh file permissions,size limits,ksh file permissions,windows ntp client,cng cipher,account lockout,set cng,account password,maximum size,configure windows ntp client,tmp file permissions,dialog box,public profile,configred appropriately,private profile,publisher setting,security zone,screen saver,documents and templates,unix permissions,outlook object model,set maximum,open xml,customer experience improvement,ds access,prompt user,preference logging and tracing,folder home page,folder home,windows permissions,remote desktop services,domain controller,automatic updates,policy processing,enable or disable,apply local,log maximum size,active directory,operating system,account logon,ajp 1.3,set cng cipher,experience improvement program,user accounts,block saving,core dump,log file path,machine account password,digitally encrypt secure channel data,group policy,customer experience improvement program,microsoft network server,group membership,bash file permissions,web pages,content over restricted protocols to access,privilege use,password length,tomcat legacy,digitally sign communications,configure outlook object model prompt,prevent deleting,audit policy,login banner,stop checking to ensure,iis application,administrator account,person name actions,standard profile,protected view,admin approval mode,ajp 1.3 connector,internet connection,error reporting,directory service access,remote assistance,core dump size limits,named pipes,ip network,trusted documents,trusted locations,visual basic,person name actions menu,trust bar,isdn bri,logon events,home directories,security audit,maximum log size,anonymous access,minimum password length,special characters,ui extending from documents and templates,admin password,application pools,broadcast requests,sql server,mail file permissions,number of days,device driver,aliases file permissions,operating system drives,directory service replication,windows update,disable trust bar notification for unsigned,windows messenger,log files,restrict ntlm,executed through,group management,security zones,filtering platform,audit policy change,workflow cache,turn off data execution prevention,removable data drives,shadow file,accessed anonymously,windows media,tomcat legacy jk ajp 1.3,security level,rsh file,at.allow file,audit log,cron.allow file,deny write access,remote access,web root,enable user,deprecated in favor of cce,windows error,lan manager,apply local firewall rules,inbound connections,connection wizard,macro security,password history,unicast response to multicast or broadcast,security audits,address book,set correctly for http,account logon events,html file,logon hours expire,turn off internet,fixed data drives,lockout threshold,snmp community,apache tomcat's,security settings,snmp community string,turn off automatic,failed login,source routing,sensitive privilege use,aliases file entries,retention method,bin directory,signed by trusted publisher,locator dns,places bar location,maximum password age,hosts file,ad attribute,configure broadcast service,execution level,environmental variable path for superuser accounts,user logon,retain old events,remotely accessible registry paths,manager service,ip source routing,service type,level 1,number of previous,password protected,minimum password age,remote control,recovery console,remote admin password,outbound connections,plain text,lan properties,files and directories,vba macro,default user,event log,windows 7,file formats,inetd.conf file,network interfaces,default gateway,signing requirements,correctly named,password file,icmp redirects,detailed tracking,windows connect now,user customization of quick access toolbar,guest account,beaconing ui,isdn pri,analysis services,file share,password policy,case characters,anonymous users,virtual memory,failed login attempts,basic authentication,field appropriately,snmpd.conf file,http 1.1,resolv.conf file,documentroot directives,security descriptor definition language,service ticket,global initialization files,ftpusers file,password digest,deny logon,server address,at.deny file,user password,windows vista,required auditing,filesystem partition,meeting password,extension mapping,response to icmp timestamp,telnet service,process tracking,publishing service,assigned appropriately,log on locally,root logins,source routed,gecos identifier,conf directory,usr sbin,apache var,tomcat users.xml,logon logoff,httpd conf,usr lib sendmail file,usr bin,var log httpd,bin bash,pki tls,alt +,application add ins,usr sbin httpd,layer 3 differentiated services code point,var adm,var log,  file,bin jsh file permissions,turn on cross site scripting,bin ksh file permissions,bin sh file permissions,bin csh file permissions,configure windows ntp client \,usr lib,http 1.1 connector,add ins,tcp ip,built in administrator account,disable commands office button |,submit non encrypted form data,built in guest account,bitlocker protected,world writable,bin rsh file
configured correctly,5889,1545,763,752,0,642,2,0,247,245,216,210,210,154,305,265,0,140,152,0,90,65,129,57,24,39,107,89,0,46,83,22,43,74,24,9,36,22,22,22,31,33,61,73,48,9,21,31,19,9,0,26,0,22,0,22,21,0,16,38,26,23,24,23,22,30,2,4,22,22,22,22,22,22,22,21,21,21,28,3,20,20,20,2,20,2,0,28,31,38,24,36,1,20,31,23,22,23,2,0,22,3,22,6,22,22,0,22,22,27,0,0,21,26,21,21,2,20,20,20,33,20,24,23,18,11,6,23,14,0,17,15,0,0,5,0,25,18,9,18,8,21,24,0,24,8,0,8,32,25,23,22,0,19,21,22,13,0,19,21,13,13,0,12,16,9,16,3,13,17,17,12,0,0,12,11,1,19,0,12,8,3,12,10,14,1,0,13,10,0,8,0,12,13,14,3,0,13,2,10,13,6,13,12,0,12,12,0,8,0,8,0,15,19,17,12,14,0,0,0,4,6,5,8,0,13,0,0,0,0,0,7,10,0,11,0,12,12,6,0,14,0,0,12,0,0,14,14,16,0,6,11,0,12,0,1,1,1,10,3,2,4,0,11,6,7,1,9,12,4,0,4,10,0,0,4,6,11,14,3,0,0,11,0,11,1,6,0,0,3,0,12,10,10,3,0,10,10,10,0,7,10,6,0,5,15,10,3,10,3,3,6,0,1,11,0,2,10,4,4,1,10,0,0,3,5,0,0,3,0,10,12,4,8,0,0,0,0,0,3,3,1,6,0,0,6,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machine setting,1545,1545,0,0,0,0,0,0,102,102,106,102,102,73,0,0,0,0,0,0,32,30,0,0,6,0,0,0,0,21,0,10,13,0,11,0,0,10,10,10,10,10,0,0,48,0,2,13,0,0,0,10,0,10,0,10,10,0,0,0,11,11,10,10,20,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,0,14,0,0,12,1,1,10,14,10,11,10,2,0,10,1,10,0,10,10,0,10,10,0,0,0,10,0,10,10,0,10,10,10,0,10,3,0,0,0,0,10,4,0,0,5,0,0,0,0,2,0,0,0,0,1,1,0,4,0,0,0,0,6,0,0,0,0,1,0,5,0,1,21,0,0,0,10,4,7,13,1,0,0,5,1,0,0,0,3,0,0,0,4,0,0,9,3,0,0,0,2,5,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,1,0,6,0,3,0,0,0,0,6,0,0,0,3,3,0,0,2,0,1,0,0,0,0,8,1,0,4,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
current user,763,0,771,752,0,0,0,1,103,103,106,103,103,72,0,0,0,0,0,0,31,30,0,0,0,0,0,0,0,21,0,10,13,0,11,0,0,10,10,10,10,10,0,0,0,0,0,13,0,0,0,10,0,10,0,10,10,2,5,0,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,0,14,0,0,12,0,0,10,1,10,11,10,0,0,10,0,10,0,10,10,0,10,10,0,0,0,10,0,10,10,0,10,10,10,0,9,17,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
current user setting,752,0,752,752,0,0,0,0,103,103,106,103,103,72,0,0,0,0,0,0,31,30,0,0,0,0,0,0,0,21,0,10,13,0,11,0,0,10,10,10,10,10,0,0,0,0,0,13,0,0,0,10,0,10,0,10,10,0,5,0,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,0,14,0,0,12,0,0,10,1,10,11,10,0,0,10,0,10,0,10,10,0,10,10,0,0,0,10,0,10,10,0,10,10,10,0,9,17,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
set appropriately,0,0,0,0,623,0,426,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,20,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,5,8,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,3,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common setting,642,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
file permissions,2,0,0,0,426,0,476,39,0,0,0,0,0,0,0,0,2,0,0,99,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
set correctly,0,0,1,0,0,0,39,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,21,22,0,0,18,0,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,4,9,0,0,8,0,0,0,0,0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,2,0,0,2,0,1,0,6,8,0,0,0,21,0,0,0,0,0,2,0,0,0,0,1,0,9,0,0,0,0,0,2,0,4,0,7,0,4,0,0,0,0,0,0,0,0,2,4,11,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,13,1,0,7,0,0,0,0,0,0,4,0,18,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,4,0,0,4,8,0,0,0,0,0,0,2,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internet zone,247,102,103,103,0,0,0,0,247,0,0,0,0,32,0,1,0,0,1,0,5,14,1,0,0,0,0,0,0,9,0,5,4,0,5,0,0,5,5,5,8,5,0,0,0,0,0,0,0,0,0,4,0,5,0,5,5,0,1,0,5,5,6,6,0,6,0,0,5,5,5,5,5,5,5,4,4,5,5,0,4,4,4,0,4,0,0,0,0,0,4,0,0,4,0,6,4,5,0,0,5,0,5,0,5,5,0,5,5,0,0,0,4,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restricted sites zone,245,102,103,103,0,0,0,0,0,245,0,0,0,33,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,9,0,5,4,0,5,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,4,0,5,0,5,4,0,1,0,5,5,6,5,0,6,0,0,5,5,5,5,5,5,5,5,5,4,5,0,4,4,4,0,4,0,0,0,0,0,4,0,0,4,0,5,4,5,0,0,5,0,5,0,5,5,0,5,5,0,0,0,5,0,5,5,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
