,configured correctly,machine setting,current user,current user setting,set appropriately,common setting,file permissions,set correctly,internet zone,restricted sites zone,local machine zone,intranet zone,outlook setting,activex controls,word setting,trust center,configured appropriately,excel setting,sh file permissions,internet explorer,powerpoint setting,net framework,windows firewall,log file,user account,project setting,visio setting,registry key,disable commands,terminal services,web page,status bar,infopath setting,access setting,onenote setting,microsoft exchange,network security,open files,secure channel,digitally sign,web content,internet explorer processes,file extension,web sites,secure channel data,minimum requirements,domain profile,meet minimum requirements,media player,set correctly for terminal services,content zones,user account control,size limit,protected mode,remote desktop,properly configured,directory service,download signed activex controls,turn on protected mode,java permissions,download unsigned activex controls,browser control,loose xaml,object access,reliant components signed with authenticode,trusted platform,display mixed content,trusted platform module,net framework setup,process list,loose xaml files,stop checking,file types,network access,smartscreen filter,launching programs,home directory,data sources,isdn network,digitally encrypt,aka pcr,platform configuration register,software channel permissions,include local directory path,userdata persistence,xps documents,passwd file,active scripting,interactive logon,security restriction,microsoft network,policy change,disable changing,domain member,xaml browser applications,restricted protocols,password change,logon options,sign secure channel data,smart card,security log,account management,home page,jsh file permissions,csh file permissions,ksh file permissions,size limits,cng cipher,application log,set cng,windows ntp client,account lockout,maximum size,account password,tmp file permissions,configure windows ntp client,dialog box,security zone,publisher setting,public profile,private profile,unix permissions,outlook object model,screen saver,set maximum,disable shortcut keys,ds access,open xml,remote desktop services,customer experience improvement,domain controller,folder home page,prompt user,configred appropriately,folder home,automatic updates,apply local,policy processing,log maximum size,active directory,set cng cipher,secure rpc,account logon,block saving,core dump,experience improvement program,machine account password,log file path,digitally encrypt secure channel data,group policy,group membership,microsoft network server,customer experience improvement program,web pages,bash file permissions,including secure rpc,digitally sign communications,configure outlook object model prompt,password length,login banner,iis application,stop checking to ensure,administrator account,protected view,prevent deleting,admin approval mode,directory service access,named pipes,trusted documents,ip network,core dump size limits,remote assistance,error reporting,standard profile,trusted locations,isdn bri,logon events,trust bar,anonymous access,minimum password length,maximum log size,visual basic,admin password,home directories,application pools,sql server,internet connection,aliases file permissions,mail file permissions,number of days,directory service replication,log files,disable trust bar notification for unsigned,windows messenger,group management,restrict ntlm,security zones,workflow cache,filtering platform,removable data drives,accessed anonymously,shadow file,special characters,windows media,turn off data execution prevention,rsh file,security level,deny write access,at.allow file,remote access,cron.allow file,device driver,web root,lan manager,enable user,apply local firewall rules,windows update,inbound connections,macro security,windows error,account logon events,password history,address book,audit log,html file,fixed data drives,logon hours expire,broadcast requests,lockout threshold,apache tomcat's,security settings,connection wizard,retention method,locator dns,remotely accessible registry paths,execution level,ad attribute,configure broadcast service,maximum password age,places bar location,service type,manager service,hosts file,bin directory,minimum password age,password protected,user logon,level 1,remote control,number of previous,remote admin password,recovery console,outbound connections,audit policy change,lan properties,plain text,file formats,event log,vba macro,windows 7,inetd.conf file,icmp redirects,default gateway,correctly named,network interfaces,signing requirements,guest account,user customization of quick access toolbar,beaconing ui,isdn pri,detailed tracking,file share,analysis services,virtual memory,security audits,snmp community string,anonymous users,field appropriately,basic authentication,http 1.1,case characters,resolv.conf file,snmpd.conf file,aliases file entries,environmental variable path for superuser accounts,security descriptor definition language,ip source routing,service ticket,global initialization files,ftpusers file,server address,documentroot directives,at.deny file,password digest,deny logon,required auditing,extension mapping,meeting password,filesystem partition,response to icmp timestamp,telnet service,windows vista,process tracking,tomcat legacy jk ajp 1.3,publishing service,failed login attempts,assigned appropriately,root logins,source routed,gecos identifier,conf directory,httpd conf,layer 3 differentiated services code point,application add ins,built in administrator account,logon logoff,tcp ip,usr lib sendmail file,bin rsh file,usr sbin httpd,bitlocker protected,add ins,usr sbin,usr lib,tomcat users.xml,pki tls,bin ksh file permissions,usr bin,submit non encrypted form data,bin bash,var log httpd,var adm,bin csh file permissions,var log,world writable,bin jsh file permissions,bin sh file permissions,apache var
configured correctly,5889,1545,763,752,0,642,2,0,247,245,216,210,305,154,265,140,0,152,0,90,129,65,57,24,39,107,89,0,83,9,43,46,74,61,73,48,36,31,9,21,22,31,33,24,9,0,19,0,26,0,22,38,16,26,22,0,2,23,22,30,22,22,22,0,21,4,28,3,20,28,20,31,38,36,24,24,2,23,0,6,0,0,23,22,22,22,0,21,33,20,23,1,24,18,20,20,11,20,6,23,14,0,17,0,0,0,5,18,15,18,25,9,21,8,0,24,24,25,32,8,8,0,19,23,21,26,0,22,12,13,16,13,19,0,13,9,13,16,17,17,12,3,0,19,0,11,8,12,3,12,1,14,10,13,0,2,12,13,8,0,2,13,10,13,14,12,0,8,15,0,0,8,12,6,19,0,0,14,5,8,6,17,0,0,0,0,12,0,0,7,0,0,12,6,0,14,12,14,0,16,6,0,0,11,14,0,12,10,1,3,1,10,2,6,4,7,12,1,12,11,0,4,10,1,4,14,6,0,3,0,11,9,3,10,6,10,10,10,3,10,15,0,0,0,3,10,7,10,3,3,0,6,1,0,0,11,10,4,10,1,0,3,3,0,0,5,4,12,8,0,0,0,0,3,4,0,3,0,6,6,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machine setting,1545,1545,0,0,0,0,0,0,102,102,106,102,0,73,0,0,0,0,0,32,0,30,0,6,0,0,0,0,0,0,13,21,0,0,0,48,0,10,0,2,10,13,10,11,0,0,0,0,10,0,10,0,0,11,20,0,0,10,10,10,10,10,10,0,10,0,10,0,10,14,10,0,0,1,12,10,2,11,0,0,0,0,10,10,10,10,0,10,0,10,0,1,3,0,10,10,0,10,0,10,4,0,0,0,0,0,0,0,5,0,2,0,1,0,0,1,4,6,0,0,0,0,0,0,1,0,0,0,10,5,4,0,1,0,0,7,0,13,0,5,0,1,0,0,0,3,0,4,0,9,0,0,3,2,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,6,0,0,3,0,0,0,2,3,0,1,8,0,1,0,4,0,0,4,0,6,0,0,4,0,0,1,0,0,3,0,0,0,0,1,1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
current user,763,0,771,752,0,0,0,1,103,103,106,103,0,72,0,0,0,0,0,31,0,30,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0,10,0,0,10,13,10,11,0,0,0,0,10,0,10,0,5,10,0,2,0,10,10,10,10,10,10,0,10,0,10,0,10,14,10,0,0,0,12,10,0,10,0,0,0,0,10,10,10,10,0,10,0,9,0,0,17,0,10,10,0,10,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
current user setting,752,0,752,752,0,0,0,0,103,103,106,103,0,72,0,0,0,0,0,31,0,30,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0,10,0,0,10,13,10,11,0,0,0,0,10,0,10,0,5,10,0,0,0,10,10,10,10,10,10,0,10,0,10,0,10,14,10,0,0,0,12,10,0,10,0,0,0,0,10,10,10,10,0,10,0,9,0,0,17,0,10,10,0,10,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
set appropriately,0,0,0,0,623,0,426,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,8,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,5,5,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common setting,642,0,0,0,0,642,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
file permissions,2,0,0,0,426,0,476,39,0,0,0,0,0,0,0,0,2,0,99,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,15,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
set correctly,0,0,1,0,0,0,39,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,52,0,0,0,0,0,0,0,0,21,22,0,0,0,0,18,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,10,4,9,0,0,0,0,0,0,0,8,0,0,0,1,10,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,6,0,8,0,21,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,4,0,0,0,7,4,0,0,0,0,0,6,0,11,0,0,2,8,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,8,0,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internet zone,247,102,103,103,0,0,0,0,247,0,0,0,0,32,1,0,0,1,0,5,1,14,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,8,0,0,5,0,5,5,0,0,0,0,4,0,5,0,1,5,0,0,0,6,5,6,5,5,5,0,5,0,5,0,4,0,4,0,0,0,4,6,0,5,0,0,0,0,6,5,5,5,0,4,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restricted sites zone,245,102,103,103,0,0,0,0,0,245,0,0,0,33,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,5,0,0,5,0,5,5,0,0,0,0,4,0,5,0,1,5,0,0,0,5,5,6,5,5,5,0,4,0,5,0,4,0,4,0,0,0,4,6,0,5,0,0,0,0,5,5,5,5,0,5,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
