,upstream component,special elements,downstream component,receives input,neutralize or incorrectly neutralizes special,neutralize or incorrectly neutralizes special elements,sensitive information,protection mechanism,denial of service,buffer overflow,access control,web application,memory location,resultant weaknesses,a buffer overflow,protection mechanisms,code execution,sensitive data,source code,input validation,control sphere,application stores,handle or incorrectly handles,memory locations,files or directories,operating system,web server,control flow,data structure,integrated circuits and hardware,unauthorized actors,unintended locations or access arbitrary files,race condition,validate or incorrectly validates,large number of,random number,security identifier,shared resource,regular expression,data element,hard coded,security critical,security relevant,user controlled
upstream component,53,34,37,33,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
special elements,34,52,33,21,24,24,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downstream component,37,33,39,23,21,20,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
receives input,33,21,23,38,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes special,24,24,21,17,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes special elements,22,24,20,15,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitive information,0,0,0,0,0,0,62,0,2,1,1,3,3,0,1,0,0,0,1,0,2,7,0,1,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
protection mechanism,0,1,1,0,0,0,0,31,0,0,1,1,0,2,0,11,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
denial of service,0,0,0,0,0,0,2,0,27,1,0,2,1,0,0,0,6,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
buffer overflow,0,0,0,0,0,0,1,0,1,21,0,0,1,0,14,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access control,0,0,0,0,0,0,1,1,0,0,29,0,0,0,0,1,0,3,0,0,1,2,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web application,0,0,0,0,0,0,3,1,2,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
memory location,0,0,0,0,0,0,3,0,1,1,0,0,19,0,1,0,1,1,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resultant weaknesses,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a buffer overflow,0,0,0,0,0,0,1,0,0,14,0,0,1,0,14,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
