,the software,does not,an attack,an attacker,does not properly,upstream component,an upstream component,special elements,neutralize or incorrectly neutralizes,the product,does not neutralize or incorrectly neutralizes,the software does not,the software receives,outside of,downstream component,a downstream component,receives input,receives input from,lead to,the software receives input from,the application,the software uses,file system,neutralize or incorrectly neutralizes special,neutralize or incorrectly neutralizes special elements,the file system to,interpreted as,the program,a resource,access to,sensitive information,able to,a software system,the software does not properly,external input,uses external input,or access arbitrary,the attacker,arbitrary files,unintended locations or access arbitrary files,the software uses external input to,for example,without appropriate validation,an attacker to traverse,a pathname,does not properly neutralize,resolve to,software uses external input to construct,accepts path input in,ambiguous path resolution and allow,a restricted directory,result in,denial of service,leading to,part of,number of,protection mechanism,control sphere,web application,this weakness,files or directories,does not sufficiently,access control,an actor,resultant weaknesses,based on,the restricted directory,a denial of service,in unexpected ways,the original,access files or directories,accessible to,buffer overflow,the product's,in order to,this allows attackers to traverse,memory location,do not,this issue,handle or incorrectly handles,software performs,depending on,unexpected actions,take unexpected actions,the software performs,control flow,the intended control sphere,code execution,stored in,type of,associated with,the process to take unexpected actions,not correctly,a buffer overflow,sensitive information in,operating system,sensitive data,an unexpected,the use of,the web application,allow attackers to,amount of,information about,relies on,a particular,application stores,types of,application uses,an error,the application stores,ability to,to operate,the software does not properly handle,attempt to,the application stores sensitive,a single,source code,resulting in,input validation,a protection mechanism,does not correctly,a crash,memory locations,attempts to,protection mechanisms,an index,an action,instead of,web server,exposure of,leads to,an object,more difficult,even if,the name of,some cases,data structure,the contents of,large number of,more difficult to,reachable by,an injected,unauthorized actors,shared resource,race condition,a certificate,random number,the program violates,the enterprise javabeans,validate or incorrectly validates,function call,the browser,the size of,susceptible to,integrated circuits and hardware,deprecated because,code uses,this entry,end of,regular expression,security identifier,data element,a position,hard coded,security critical,system on chip,on chip,user controlled,security relevant
the software,443,220,40,38,68,48,48,40,45,5,45,105,41,31,38,37,32,32,19,32,4,65,3,25,23,0,19,6,30,13,9,5,0,38,18,17,0,7,0,0,17,8,0,0,16,16,16,15,0,0,14,1,5,12,11,15,12,10,2,2,0,9,3,19,15,6,1,2,6,4,0,3,2,1,2,0,8,3,17,16,18,2,1,1,18,5,8,3,0,1,6,0,10,2,1,3,1,8,1,0,3,5,5,4,5,0,1,0,5,0,1,8,10,3,0,2,0,5,1,3,8,3,3,7,5,8,5,2,0,0,3,7,8,4,1,1,3,0,7,8,9,1,3,6,4,8,3,0,0,2,1,0,1,1,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0
does not,220,390,17,15,95,49,49,38,48,64,48,105,37,23,33,33,37,33,13,32,28,29,3,26,24,0,19,13,26,15,9,8,0,38,18,18,0,5,0,0,17,8,0,0,16,16,15,15,0,0,14,1,3,9,10,6,6,9,10,5,0,23,4,14,5,6,1,1,7,5,0,0,2,7,3,0,0,3,1,19,4,1,0,0,4,7,5,1,3,2,6,0,10,2,1,4,4,1,1,8,5,7,1,3,7,0,2,5,4,0,2,5,10,5,0,3,5,4,6,5,10,0,0,6,0,3,6,0,3,1,4,6,1,0,2,0,1,2,1,0,0,0,2,4,0,6,1,1,1,9,3,0,1,3,0,0,2,0,1,2,0,3,0,0,0,0,0,0,0
an attack,40,17,183,166,2,0,0,6,2,11,2,2,0,5,0,0,0,0,23,0,17,2,19,0,0,18,1,8,2,11,5,21,22,2,3,3,19,24,18,18,2,16,17,17,0,0,0,0,15,15,0,14,10,3,4,7,3,4,5,7,0,4,4,1,2,6,0,8,1,5,0,1,3,2,7,0,3,1,10,0,0,6,8,8,0,4,4,4,3,5,5,7,1,1,1,4,2,3,1,3,3,2,5,3,1,0,3,2,1,0,5,6,0,3,0,2,3,1,2,0,0,1,3,0,3,0,1,3,4,3,2,0,3,3,3,3,1,3,2,3,9,1,0,3,3,1,3,0,0,0,2,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
an attacker,38,15,166,166,2,0,0,0,2,10,2,2,0,5,0,0,0,0,23,0,13,2,19,0,0,18,1,8,2,11,4,20,22,2,3,3,19,22,18,18,2,16,17,17,0,0,0,0,15,15,0,7,10,3,4,7,3,4,4,7,0,4,3,1,2,6,0,8,1,5,0,1,3,2,6,0,3,1,10,0,0,6,1,1,0,4,4,4,3,5,5,0,1,1,1,2,2,3,1,3,3,2,3,2,1,0,3,2,1,0,5,6,0,2,0,2,3,1,2,0,0,1,3,0,3,0,0,3,4,2,2,0,2,3,3,3,1,3,2,2,9,0,0,3,3,1,3,0,0,0,2,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
does not properly,68,95,2,2,95,2,2,3,0,15,0,39,2,16,0,0,2,2,3,2,8,18,1,0,0,0,0,2,6,5,2,1,0,38,15,15,0,0,0,0,15,1,0,0,15,16,15,15,0,0,14,0,1,4,1,4,2,2,2,0,0,0,2,5,0,2,1,1,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,4,0,2,2,0,1,3,0,0,0,0,10,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upstream component,48,49,0,0,2,53,53,34,34,2,34,0,41,1,37,37,33,33,0,32,1,0,0,24,22,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
an upstream component,48,49,0,0,2,53,53,34,34,2,34,0,41,1,37,37,33,33,0,32,1,0,0,24,22,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
special elements,40,38,6,0,3,34,34,52,30,1,30,3,27,2,33,32,21,21,0,21,1,1,0,24,24,0,17,1,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,1,2,1,1,0,0,1,6,0,0,7,0,1,0,0,1,1,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes,45,48,2,2,0,34,34,30,48,0,48,6,27,0,28,28,26,26,0,26,2,3,0,26,24,0,19,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the product,5,64,11,10,15,2,2,1,0,170,0,2,0,5,1,1,5,0,2,0,2,0,0,0,0,0,0,2,9,10,8,9,0,1,1,1,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,2,1,7,1,1,6,7,0,3,2,8,8,3,5,5,0,1,1,6,0,6,2,25,2,0,1,2,0,3,0,1,0,0,0,3,3,0,1,3,2,0,1,2,2,1,1,1,0,0,0,3,3,5,5,0,2,0,4,0,4,0,0,0,0,2,2,2,0,3,0,1,1,0,0,1,0,2,1,1,3,0,0,1,0,3,2,0,0,0,0,0,5,1,1,0,3,0,0,8,0,0,0,2,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0
