,upstream component,an upstream component,special elements,neutralize or incorrectly neutralizes,downstream component,a downstream component,receives input,neutralize or incorrectly neutralizes special,lead to,neutralize or incorrectly neutralizes special elements,file system,interpreted as,sensitive information,access to,unintended locations or access arbitrary files,without appropriate validation,result in,accepts path input in,ambiguous path resolution and allow,files or directories,access files or directories,the restricted directory,number of,uses external input,protection mechanism,this allows attackers to traverse,denial of service,resolve to,this weakness,a restricted directory,software uses external input to construct,unexpected actions,in unexpected ways,take unexpected actions,resultant weaknesses,web application,access control,buffer overflow,memory location,stored in,based on,control sphere,code execution,depending on,this issue,operating system,a buffer overflow,protection mechanisms,software performs,information about,an injected,exposure of,an actor,sensitive data,deprecated because,control flow,input validation,relies on,source code,large number of,the intended control sphere,application uses,web server,associated with,handle or incorrectly handles,data structure,memory locations,this entry,application stores,integrated circuits and hardware,more difficult,some cases,the program violates,race condition,the enterprise javabeans,unauthorized actors,shared resource,reachable by,susceptible to,random number,security identifier,end of,validate or incorrectly validates,function call,a position,the software does not properly handle,regular expression,data element,hard coded,security critical,system on chip,security relevant,user controlled
upstream component,53,53,34,34,37,37,33,24,0,22,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
an upstream component,53,53,34,34,37,37,33,24,0,22,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
special elements,34,34,52,30,33,32,21,24,0,24,0,17,0,0,0,0,6,0,0,1,1,1,0,1,1,0,0,1,1,1,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes,34,34,30,48,28,28,26,26,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downstream component,37,37,33,28,39,38,23,21,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a downstream component,37,37,32,28,38,38,23,21,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
receives input,33,33,21,26,23,23,38,17,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes special,24,24,24,26,21,21,17,26,0,24,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lead to,0,0,0,0,0,0,0,0,74,0,15,0,1,5,15,15,1,15,15,0,0,0,2,0,1,0,7,0,2,0,0,0,0,0,14,3,0,4,0,0,0,0,6,6,0,2,2,1,3,0,0,1,0,0,0,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes special elements,22,22,24,24,20,20,15,24,0,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
