,upstream component,special elements,downstream component,receives input,sensitive information,protection mechanism,web application,access control,resultant weaknesses,memory location,protection mechanisms,buffer overflow,source code,control sphere,handle or incorrectly handles,input validation,code execution,web server,memory locations,control flow,integrated circuits and hardware,data structure,unauthorized actors,race condition,random number,security identifier,regular expression,shared resource,data element,hard coded,security critical,security relevant,user controlled
upstream component,53,34,37,33,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
special elements,34,52,33,21,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
downstream component,37,33,39,23,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
receives input,33,21,23,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitive information,0,0,0,0,62,0,3,1,0,3,0,1,1,2,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
protection mechanism,0,1,1,0,0,31,1,1,2,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
web application,0,0,0,0,3,1,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
access control,0,0,0,0,1,1,0,29,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
resultant weaknesses,0,0,0,0,0,2,0,0,30,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memory location,0,0,0,0,3,0,0,0,0,19,0,1,0,0,0,0,1,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
protection mechanisms,0,1,1,0,0,11,1,1,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
buffer overflow,0,0,0,0,1,0,0,0,0,1,0,21,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
source code,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control sphere,1,0,0,0,2,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handle or incorrectly handles,2,0,0,2,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input validation,0,1,1,0,0,1,0,0,1,0,1,2,0,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
code execution,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,12,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
web server,1,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memory locations,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
control flow,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
integrated circuits and hardware,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,3,0,0,0
data structure,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0
unauthorized actors,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
race condition,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
random number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
security identifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0
regular expression,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
shared resource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
data element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
hard coded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0
security critical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
security relevant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user controlled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
