,protection mechanism,web application,buffer overflow,source code,control flow,input validation,web server,random number,data structure,memory locations,regular expression,shared resource,security identifier
protection mechanism,31,1,0,0,0,1,0,0,0,0,1,0,0
web application,1,32,0,0,0,0,0,0,0,0,0,0,0
buffer overflow,0,0,21,0,1,2,0,0,1,1,0,0,0
source code,0,0,0,22,0,0,3,0,0,0,0,0,0
control flow,0,0,1,0,16,1,0,0,0,0,0,0,0
input validation,1,0,2,0,1,14,0,0,0,0,0,0,0
web server,0,0,0,3,0,0,13,0,0,0,0,0,0
random number,0,0,0,0,0,0,0,15,0,0,0,0,0
data structure,0,0,1,0,0,0,0,0,10,2,0,0,0
memory locations,0,0,1,0,0,0,0,0,2,9,0,0,0
regular expression,1,0,0,0,0,0,0,0,0,0,9,0,0
shared resource,0,0,0,0,0,0,0,0,0,0,0,10,0
security identifier,0,0,0,0,0,0,0,0,0,0,0,0,8
