,operating system,operating systems,sensitive information,closed port,arbitrary code,error message,web server,web application,access control,web service,malicious script,remote host,web browser,execute arbitrary code,web services,buffer overflow,icmp error message,takes advantage of,error messages,http request,ip address,input validation,social engineering,supply chain,legitimate users,vulnerable web,sequence number,http get,unauthorized access,closed ports,client side,malicious logic,sql injection,domain name,icmp type,cross domain,brute force,credential prompt,cross site scripting,rfc 793
operating system,49,23,3,9,3,6,0,0,1,0,0,5,0,2,0,1,5,0,3,0,2,0,0,0,2,0,6,0,0,2,0,1,1,1,2,0,0,2,0,0
operating systems,23,23,0,7,0,5,0,0,0,0,0,4,0,0,0,0,4,0,2,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0
sensitive information,3,0,43,0,2,1,0,2,4,1,0,0,2,1,0,2,0,1,1,0,1,0,4,1,0,0,0,1,1,0,0,0,1,0,0,2,0,2,0,0
closed port,9,7,0,15,0,6,0,0,0,0,0,2,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
arbitrary code,3,0,2,0,22,0,1,1,1,3,0,0,0,10,3,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
error message,6,5,1,6,0,13,2,0,0,0,0,2,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
web server,0,0,0,0,1,2,18,3,0,1,3,1,4,0,1,0,0,0,0,5,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0
web application,0,0,2,0,1,0,3,18,2,1,4,0,1,0,0,0,0,1,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
access control,1,0,4,0,1,0,0,2,22,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
web service,0,0,1,0,3,0,1,1,0,12,0,0,0,1,9,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
malicious script,0,0,0,0,0,0,3,4,0,0,9,2,3,0,0,0,0,0,0,2,1,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
